_id;address;daysOnline;derivedKmPerYear;diffSaving;diffSavingPercent;emissionClass;emissionSticker;firstRegistration;firstSeenOn;fuel;goneOn;id;inputIsFavoured;inputIsRegressionExcluded;isMined;kmState;lastSeenOn;makeIdModelId;makeModel;numOfPrevOwners;numOfSeats;plz;power;predictedPrice;priceEur;summary;uri
5a69a91672dea18af7c6a36b;DE-86152 Augsburg;-1;23331;-3317;-0.553;Euro4;4;2008-10-01 00:00:00;2018-01-25 10:53:26.147000;Diesel;;256607745;;;True;219000;2018-02-17 09:28:09.137000;;Fiat/Ducato;1;8;86152;101;2683;7000.0;NeuFiat Ducato L1H1 250.0L1.0Inserat online seit 23.01.2018 19:477.000 €Erhöhter PreisEZ 10/2008, 219.000 km, 74 kW (101 PS)Van / Minibus, Unfallfrei, Diesel, Schaltgetriebe, HU 09/2018, 4/5 Türen≈ 7,9 l/100km (komb.), ≈ 208 g CO₂/km (komb.)DE-86152 augsburg, PrivatanbieterVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=256607745&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=1&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=ffbcdd74-676d-e506-6af5-d793ee824d8a
5a69a91672dea18af7c6a37d;Bodensee Straße 149DE-81243 München;-1;18550;929;0.186;Euro4;4;2008-03-01 00:00:00;2018-01-25 10:53:26.847000;Diesel;;256539997;;;True;185000;2018-02-17 09:28:57.277000;;Citroën/Jumper;2;3;81243;120;5928;5499.0;NeuCitroën Jumper Kasten 33 L2H1 HDi 120*Lang*2-Hand*Inserat online seit 22.01.2018 15:125.499 €Guter PreisEZ 03/2008, 185.000 km, 88 kW (120 PS)Van / Minibus, Unfallfrei, Diesel, Schaltgetriebe, HU Neu, 4/5 Türen≈ 9,3 l/100km (komb.), ≈ 246 g CO₂/km (komb.)Autoland-Laim(12)DE-81243 München, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=256539997&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=2&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=aac12b81-4c98-6a27-a0b2-7aa43a3eb79b
5a69a91772dea18af7c6a391;Friedhofstraße 1DE-86381 Krumbach-Niederraunau;-1;20121;9617;0.808;Euro5;4;2013-03-01 00:00:00;2018-01-25 10:53:27.541000;Diesel;;253380121;;;True;100000;2018-02-17 09:29:15.098000;;Peugeot/Boxer;1;3;86381;150;21517;11900.0;Peugeot Boxer  Kasten   Hochraum  HDi   L4-H2Inserat online seit 20.01.2018 14:1811.900 €19,00% MwSt.Angemessener PreisEZ 03/2013, 100.000 km, 110 kW (150 PS)Van / Minibus, Diesel, Schaltgetriebe, 4/5 Türen≈ 9,3 l/100km (komb.), ≈ 246 g CO₂/km (komb.)Martin Tahedl(19)DE-86381 Krumbach-Niederraunau, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=253380121&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=3&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=06322d17-2ea8-1771-b840-c1bc262cde6f
5a69a91872dea18af7c6a39c;Schillerstrasse 2DE-85055 Ingolstadt;-1;19324;2332;0.167;Euro4;4;2011-09-01 00:00:00;2018-01-25 10:53:28.197000;Diesel;;256407164;;;True;125000;2018-02-17 09:29:27.341000;;Citroën/Jumper;1;6;85055;158;16323;13990.0;Citroën Jumper 3.0 HDi * LKW -DOKA*7sitzer*AHK*Inserat online seit 19.01.2018 10:4413.990 €Ohne BewertungEZ 09/2011, 125.000 km, 116 kW (158 PS)Van / Minibus, Diesel, Schaltgetriebe, HU 07/2019, 4/5 Türen≈ 9,3 l/100km (komb.), ≈ 246 g CO₂/km (komb.)AUTO  STERN(5)DE-85055 Ingolstadt, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=256407164&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=4&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=c3315b9e-f508-ecb8-2109-2ac72fa2ef35
5a69a91872dea18af7c6a39e;Multscherstr. 9DE-89077 Ulm;-1;21362;-46;-0.007;Euro4;4;2011-08-01 00:00:00;2018-01-25 10:53:28.209000;Diesel;;255273996;;;True;140000;2018-02-17 09:29:27.568000;;Fiat/Ducato;1;3;89077;101;6953;7600.0;Fiat Ducato Kasten 28 100,1-HAND,MwSt,TÜV NEU,REGALEInserat online seit 19.01.2018 06:217.600 €19,00% MwSt.Erhöhter PreisEZ 08/2011, 140.000 km, 74 kW (101 PS)Van / Minibus, Diesel, Schaltgetriebe, HU 12/2019, 4/5 Türen≈ 8,1 l/100km (komb.), ≈ 214 g CO₂/km (komb.)Auto Avdic (An-und Verkauf)(8)DE-89077 Ulm, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=255273996&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=4&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=c3315b9e-f508-ecb8-2109-2ac72fa2ef35
5a69a91872dea18af7c6a3a8;statzenbachstr. 28DE-85368 Moosburg;-1;20561;3768;0.571;Euro4;4;2011-09-01 00:00:00;2018-01-25 10:53:28.270000;Diesel;;256349426;;;True;133000;2018-02-17 09:29:27.724000;;Fiat/Ducato;1;2;85368;116;10369;7100.0;Fiat Ducato L1Inserat online seit 18.01.2018 08:307.100 €19,00% MwSt.Angemessener PreisEZ 09/2011, 133.000 km, 85 kW (116 PS)Andere, Diesel, Schaltgetriebe, 2/3 TürenDE-85368 moosburg, GewerbeVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=256349426&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=4&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=c3315b9e-f508-ecb8-2109-2ac72fa2ef35
5a69a91872dea18af7c6a3a9;Multscherstr. 9DE-89077 Ulm;-1;8561;3654;0.475;Euro4;4;2009-09-01 00:00:00;2018-01-25 10:53:28.276000;Diesel;;256346683;;;True;72500;2018-02-17 09:29:27.930000;;Peugeot/Boxer;2;3;89077;101;11355;8200.0;Peugeot Boxer 2.2 HDI,L2H1,AHK,DPF,WR,SR,TÜV 8/19Inserat online seit 18.01.2018 06:178.200 €Angemessener PreisEZ 09/2009, 72.500 km, 74 kW (101 PS)Van / Minibus, Diesel, Schaltgetriebe, HU 08/2019, 4/5 Türen≈ 8,1 l/100km (komb.), ≈ 214 g CO₂/km (komb.)Auto Avdic (An-und Verkauf)(8)DE-89077 Ulm, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=256346683&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=4&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&fnai=next&searchId=c3315b9e-f508-ecb8-2109-2ac72fa2ef35
5a69a91872dea18af7c6a3aa;Multscherstr. 9DE-89077 Ulm;-1;14101;3292;0.333;Euro4;4;2008-12-01 00:00:00;2018-01-25 10:53:28.915000;Diesel;;254713686;;;True;130000;2018-02-17 09:29:28.105000;;Fiat/Ducato;1;6;89077;158;13193;10400.0;Fiat Ducato 33 160 Power,1-HAND,MwSt.L2H2,6 SITZ,AHKInserat online seit 18.01.2018 06:0910.400 €19,00% MwSt.Ohne BewertungEZ 12/2008, 130.000 km, 116 kW (158 PS)Van / Minibus, Diesel, Schaltgetriebe, HU 03/2018, 4/5 Türen≈ 8,6 l/100km (komb.), ≈ 226 g CO₂/km (komb.)Auto Avdic (An-und Verkauf)(8)DE-89077 Ulm, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=254713686&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=5&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&fnai=prev&searchId=9a15bd95-21b2-4860-6376-c56c9307d4c2
5a69a91872dea18af7c6a3ab;Multscherstr. 9DE-89077 Ulm;-1;19881;2309;0.246;Euro5;4;2012-04-01 00:00:00;2018-01-25 10:53:28.921000;Diesel;;253323481;;;True;117000;2018-02-17 09:29:29.196000;;Citroën/Jumper;2;3;89077;131;11709;9500.0;Citroën Jumper Kasten 33 L2H1 HDi 130 FAP,DPF,WR/SR,TOP Inserat online seit 18.01.2018 06:089.500 €Erhöhter PreisEZ 04/2012, 117.000 km, 96 kW (131 PS)Kombi, Diesel, Schaltgetriebe, HU 11/2018, 4/5 Türen≈ 7,5 l/100km (komb.), ≈ 199 g CO₂/km (komb.)Auto Avdic (An-und Verkauf)(8)DE-89077 Ulm, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=253323481&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=5&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=9a15bd95-21b2-4860-6376-c56c9307d4c2
5a69a91872dea18af7c6a3ac;Werkstr. 1DE-84332 Hebertsfelden;-1;16228;5489;0.366;Euro5;4;2014-07-01 00:00:00;2018-01-25 10:53:28.927000;Diesel;;256340906;;;True;59000;2018-02-17 09:29:30.486000;;Fiat/Ducato;2;3;84332;148;20479;14990.0;Fiat Ducato Maxi L5H2 150 270° Türen/KlimaautomatikInserat online seit 18.01.2018 00:0214.990 €19,00% MwSt.Guter PreisEZ 07/2014, 59.000 km, 109 kW (148 PS)Van / Minibus, Unfallfrei, Diesel, Schaltgetriebe, HU 11/2018, 4/5 Türen270° TürenAutohaus Monteleone GmbH(5)DE-84332 Hebertsfelden, HändlerVersicherungGeparktParkenKontakt;https://suchen.mobile.de/fahrzeuge/details.html?id=256340906&ambitAddress=81375%2C+Hadern%2C+M%C3%BCnchen%2C+Bayern&ambitCountry=DE&damageUnrepaired=NO_DAMAGE_UNREPAIRED&fuels=DIESEL&fuels=HYBRID_DIESEL&isSearchRequest=true&makeModelVariant1.makeId=8800&makeModelVariant1.modelId=19&makeModelVariant2.makeId=19300&makeModelVariant2.modelId=25&makeModelVariant3.makeId=5900&makeModelVariant3.modelId=10&maxMileage=250000&minFirstRegistrationDate=2008-01-01&pageNumber=5&scopeId=C&sortOption.sortBy=creationTime&sortOption.sortOrder=DESCENDING&userPosition=48.1211184%2C11.4860576&zipcodeRadius=200&searchId=9a15bd95-21b2-4860-6376-c56c9307d4c2
